# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.421702241793e-02       3.331953887211e+03 
       3.437390247395e-02       3.318058218910e+03 
       3.453147965192e-02       3.304147589685e+03 
       3.468977402169e-02       3.290251161299e+03 
       3.484880638259e-02       3.276352919245e+03 
       3.500859829758e-02       3.262456088496e+03 
       3.516917212940e-02       3.248571483414e+03 
       3.533055107886e-02       3.234688306617e+03 
       3.549275922540e-02       3.220813533612e+03 
       3.565582157023e-02       3.206930792958e+03 
       3.581976408199e-02       3.193066292970e+03 
       3.598461374536e-02       3.179204221797e+03 
       3.615039861271e-02       3.165356289743e+03 
       3.631714785906e-02       3.151502308593e+03 
       3.648489184058e-02       3.137653776098e+03 
       3.665366215692e-02       3.123825463174e+03 
       3.682349171774e-02       3.109994609733e+03 
       3.699441481367e-02       3.096170466210e+03 
       3.716646719210e-02       3.082356964766e+03 
       3.733968613823e-02       3.068542340311e+03 
       3.751411056177e-02       3.054732897709e+03 
       3.768978108986e-02       3.040942860073e+03 
       3.786674016657e-02       3.027146360521e+03 
       3.804503215979e-02       3.013347589750e+03 
       3.822470347586e-02       2.999574854791e+03 
       3.840580268301e-02       2.985799218808e+03 
       3.858838064404e-02       2.972013416189e+03 
       3.877249065931e-02       2.958245532488e+03 
       3.895818862096e-02       2.944481728633e+03 
       3.914553317940e-02       2.930712096750e+03 
       3.933458592328e-02       2.916952471850e+03 
       3.952541157417e-02       2.903182696305e+03 
       3.971807819759e-02       2.889426113338e+03 
       3.991265743180e-02       2.875673878176e+03 
       4.010922473646e-02       2.861902552818e+03 
       4.030785966288e-02       2.848143904125e+03 
       4.050864614847e-02       2.834376258563e+03 
       4.071167283779e-02       2.820605119728e+03 
       4.091703343321e-02       2.806825244206e+03 
       4.112482707841e-02       2.793053031709e+03 
       4.133515877846e-02       2.779249898981e+03 
       4.154813986079e-02       2.765451550805e+03 
       4.176388848168e-02       2.751637604528e+03 
       4.198253018382e-02       2.737813924198e+03 
       4.220419851120e-02       2.723969651569e+03 
       4.242903568833e-02       2.710113204429e+03 
       4.265719337197e-02       2.696249091459e+03 
       4.288883348483e-02       2.682344824058e+03 
       4.312412914181e-02       2.668444181629e+03 
       4.336326568147e-02       2.654489400557e+03 
       4.360644181685e-02       2.640512458401e+03 
       4.385387092265e-02       2.626506391095e+03 
       4.410578247799e-02       2.612467703224e+03 
       4.436242368764e-02       2.598398230472e+03 
       4.462406130828e-02       2.584278271281e+03 
       4.489098371107e-02       2.570127033186e+03 
       4.516350321751e-02       2.555915097539e+03 
       4.544195875207e-02       2.541643885083e+03 
       4.572671886360e-02       2.527320290634e+03 
       4.601818517708e-02       2.512931039047e+03 
       4.631679634960e-02       2.498463263393e+03 
       4.662303261929e-02       2.483950874138e+03 
       4.693742105388e-02       2.469330493602e+03 
       4.726054162823e-02       2.454622895169e+03 
       4.759303428806e-02       2.439826521951e+03 
       4.793560719149e-02       2.424916048875e+03 
       4.828904636352e-02       2.409884393048e+03 
       4.865422705274e-02       2.394731250142e+03 
       4.903212714816e-02       2.379439428942e+03 
       4.942384310017e-02       2.363992959271e+03 
       4.983060889990e-02       2.348361342601e+03 
       5.025381881014e-02       2.332563710907e+03 
       5.069505471927e-02       2.316545914618e+03 
       5.115611921608e-02       2.300308635885e+03 
       5.163907577182e-02       2.283800334385e+03 
       5.214629778177e-02       2.267014258509e+03 
       5.268052867832e-02       2.249903446363e+03 
       5.324495589638e-02       2.232417136224e+03 
       5.384330215613e-02       2.214514376140e+03 
       5.447993831049e-02       2.196117450650e+03 
       5.516002281028e-02       2.177159634816e+03 
       5.588967347556e-02       2.157541430016e+03 
       5.667617728526e-02       2.137129327269e+03 
       5.752824238763e-02       2.115770605435e+03 
       5.845629166292e-02       2.093250754305e+03 
       5.947278550584e-02       2.069304019233e+03 
       6.059253702404e-02       2.043561506803e+03 
       6.183293616966e-02       2.015541304359e+03 
       6.321391895944e-02       1.984597704390e+03 
       6.475739931141e-02       1.949890862384e+03 
       6.648575417647e-02       1.910359224996e+03 
       6.841893751845e-02       1.864731530734e+03 
       7.057014991713e-02       1.811698965666e+03 
       7.294096001121e-02       1.750170062573e+03 
       7.551806995251e-02       1.679733684572e+03 
       7.827420133877e-02       1.601056383532e+03 
       8.117356133227e-02       1.516046069532e+03 
       8.417927801560e-02       1.427624552224e+03 
       8.725923920168e-02       1.339230648034e+03 
       9.038865675803e-02       1.254212258123e+03 
       9.354994726216e-02       1.175387954795e+03 
       9.673132963228e-02       1.104759658766e+03 
       9.992519888886e-02       1.043428132362e+03 
       1.031267606933e-01       9.916202147758e+02 
       1.063330369207e-01       9.488219298439e+02 
       1.095421943607e-01       9.139464672950e+02 
       1.127531107498e-01       8.855036687239e+02 
       1.159651012776e-01       8.617496864970e+02 
       1.191777488189e-01       8.408851896924e+02 
       1.223907995083e-01       8.211927124673e+02 
       1.256040988568e-01       8.011992927417e+02 
       1.288175528007e-01       7.797722608749e+02 
       1.320311039975e-01       7.562269292544e+02 
       1.352447174182e-01       7.303366254782e+02 
       1.384583715953e-01       7.023298651142e+02 
       1.416720533079e-01       6.727489654863e+02 
       1.448857543556e-01       6.423920590444e+02 
       1.480994695979e-01       6.121801378924e+02 
       1.513131957646e-01       5.829943767021e+02 
       1.545269307318e-01       5.556112777628e+02 
       1.577406730825e-01       5.306378058601e+02 
       1.609544218378e-01       5.084455964870e+02 
       1.641681762942e-01       4.891716111480e+02 
       1.673819359230e-01       4.727421591421e+02 
       1.705957003091e-01       4.588910222282e+02 
       1.738094691134e-01       4.472155571418e+02 
       1.770232420486e-01       4.372084695624e+02 
       1.802370188648e-01       4.283285707796e+02 
       1.834507993398e-01       4.200609066317e+02 
       1.866645832730e-01       4.119639573276e+02 
       1.898783704814e-01       4.035428139144e+02 
       1.930921607962e-01       3.944989996606e+02 
       1.963059540615e-01       3.846781832228e+02 
       1.995197501323e-01       3.740605261273e+02 
       2.027335488731e-01       3.627689710276e+02 
       2.059473501575e-01       3.510317428996e+02 
       2.091611538671e-01       3.391251995939e+02 
       2.123749598908e-01       3.273497960895e+02 
       2.155887681241e-01       3.159725492597e+02 
       2.188025784691e-01       3.052081451914e+02 
       2.220163908331e-01       2.952270069888e+02 
       2.252302051293e-01       2.861312678703e+02 
       2.284440212754e-01       2.779584806673e+02 
       2.316578391940e-01       2.707005150676e+02 
       2.348716588117e-01       2.642748380697e+02 
       2.380854800593e-01       2.585788551778e+02 
       2.412993028713e-01       2.534563295737e+02 
       2.445131271855e-01       2.487318024608e+02 
       2.477269529431e-01       2.442321003571e+02 
       2.509407800883e-01       2.398016990070e+02 
       2.541546085682e-01       2.353078023943e+02 
       2.573684383324e-01       2.306736129173e+02 
       2.605822693330e-01       2.258478830785e+02 
       2.637961015247e-01       2.208211402570e+02 
       2.670099348642e-01       2.156231679705e+02 
       2.702237693103e-01       2.102966777462e+02 
       2.734376048237e-01       2.049169099301e+02 
       2.766514413671e-01       1.995714714023e+02 
       2.798652789047e-01       1.943433744144e+02 
       2.830791174024e-01       1.893178278996e+02 
       2.862929568279e-01       1.845615673558e+02 
       2.895067971499e-01       1.801178802333e+02 
       2.927206383389e-01       1.760044173379e+02 
       2.959344803664e-01       1.722161214926e+02 
       2.991483232052e-01       1.687255613363e+02 
       3.023621668294e-01       1.654935025678e+02 
       3.055760112140e-01       1.624743261111e+02 
       3.087898563352e-01       1.596168678124e+02 
       3.120037021700e-01       1.568717696076e+02 
